Curr State,,Next State,,,,,,,100,,,,,,1000,,,,,10000,,,,100000,,,1000000
,,100,1000,10000,100000,1000000,1000000,,v1000,v10000,v100000,v1000000,v10000000,,v1000,v10000,v100000,v1000000,,v10000,v100000,v1000000,,v100000,v1000000,,v1000000
2141,,1121,4221,4221,4221,4221,4221,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2142,,2121,2021,2021,2021,2021,2021,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2143,,4421,4021,4021,4021,4021,4021,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2144,,4021,4121,4021,4021,4021,4021,,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2210,,1031,1031,1031,1031,1031,1031,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2211,,1131,1131,1131,1131,1131,1131,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2220,,4022,4022,2031,2031,2031,2031,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2221,,4122,4122,2131,2131,2131,2131,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2222,,2240,2231,2231,2231,2231,2231,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2230,,22,22,22,22,22,22,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2231,,3131,1022,1022,1022,1022,1022,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2232,,3231,3231,2022,2022,2022,2022,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2233,,3331,3331,3022,3022,3022,3022,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2240,,1022,1022,1022,1022,1022,1022,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2241,,4322,4322,1122,1122,1122,1122,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2242,,2122,2122,2122,2122,2122,2122,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2243,,3122,4022,4022,4022,4022,4022,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
2244,,4122,4122,4431,4122,4122,4122,,TRUE,FALSE,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,TRUE,TRUE,,TRUE
3010,,1021,4030,4030,4030,4030,4030,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3011,,4130,4130,1121,1121,1121,1121,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3020,,30,30,30,30,30,30,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3021,,1030,1030,1030,1030,1030,1030,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3022,,2221,2221,2221,2221,2221,2221,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3030,,3021,1030,1030,1030,1030,1030,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3031,,1130,1130,1130,1130,1130,1130,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3032,,3030,3030,3221,3221,3221,3221,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3033,,3321,3321,3321,3130,3130,3130,,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,,TRUE
3040,,4021,4021,4021,4021,4021,4021,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3041,,4121,4121,4121,4121,4121,4121,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3042,,4221,4221,4221,4030,4221,4221,,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,TRUE,,FALSE,FALSE,,TRUE
3043,,3230,4321,4321,4321,4130,4130,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,FALSE,,TRUE
3044,,4421,4421,4421,4421,4421,4421,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3110,,2031,2031,2031,2031,2031,2031,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3111,,2131,2131,2131,2131,2131,2131,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3120,,31,31,31,31,31,31,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3121,,2122,1031,1031,1031,1031,1031,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3122,,2031,2031,2031,2031,2031,2031,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3130,,1031,3040,1031,1031,1031,1031,,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3131,,1131,1131,1131,1131,1131,1131,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3132,,4231,2131,2131,2131,2131,2131,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3133,,3131,3322,3131,3131,3131,3131,,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3140,,31,31,31,31,31,31,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3141,,4231,1031,1031,1031,1031,1031,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3142,,2231,2031,2031,2031,2031,2031,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3143,,4131,4322,3031,3031,3031,3031,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3144,,4231,4422,4231,4031,4031,4031,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,,TRUE
3210,,1041,1041,1041,1041,1041,1041,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3211,,3132,1141,1141,1141,1141,1141,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3220,,32,32,32,32,32,32,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3221,,1032,1032,1032,1032,1032,1032,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3222,,2032,2032,2032,2032,2032,2032,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3230,,1032,1032,32,32,32,32,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3231,,3332,1032,1032,1032,1032,1032,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3232,,2132,2132,2032,2032,2032,2032,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3233,,3032,3132,3032,3032,3032,3032,,FALSE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3240,,1032,1032,1032,2032,1032,1032,,TRUE,TRUE,FALSE,TRUE,TRUE,,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,TRUE,,FALSE,FALSE,,TRUE
